name,university,openalex_author_id,openalex_works_count,macro_tags,llm_study_tags,openalex_france_collab,french_institution_names,french_collab_topics,link_france,french_study_focus,france_connection_type
James Swensen,BYU,https://openalex.org/A5119713544,1,"Architecture, Art Theory & Aesthetics","architecture, arches, structural elements in art, architectural history",no,,,No,,none
Heather Belnap,BYU,https://openalex.org/A5055054328,15,"American Art (United States), Religion & Sacred Art, Other / Uncategorized, Academic Art Institutions, Contemporary Art (21st century), Gender & Feminist Art History, Early Modern Art, French Colonial & Imperial Contexts, French Art & Culture, Early 20th-Century Art, Body, Identity & Representation, Labor, Class & Social History, Colonial & Imperial Art","Mormon art, Latter-day Saint art, Art and religion, Sexual misconduct in art institutions, University of Utah art department, Progressivism in art, Art Barn Utah, Alta Rawlins Jensen, Masculinity and religion, Women and religion, Second Empire France, French colonialism, Exoticism in art, French colonial project, Mormonism in France, Mormon women artists, Women artists and travel, 1900–1950 art, Art and gender, Art and cultural identity, French art history, Religious art scenes, Art and social issues, Art and colonial encounters",no,,,Yes,"Second Empire France, French colonialism, French colonial project, Mormonism in France, French art history",study
Elliott D. Wise,BYU,https://openalex.org/A5013948739,15,"Medieval Western Art, Northern European Art, Religion & Sacred Art, Iconography & Iconology, Other / Uncategorized, Visual Culture Studies, Craft & Vernacular Practices, Early Modern Art, Spanish Art & Culture, Renaissance Art, Painting","medieval art, early Netherlandish art, late medieval devotion, iconography, ritual studies, materiality of devotion, mysticism, vernacular mysticism, spirituality in art, ekphrastic mysticism, religious art, Christian art, passion imagery, holy face of Jesus, incense in ritual, blood symbolism, thresholds and liminality, visual culture in early modernity, devotional practices, visionary experience, artisanal competitions, Jan van Ruusbroec, Robert Campin, Rogier van der Weyden, Jan Provoost, Bruges, Escorial Crucifixion, 15th century art, Netherlandish painting, Northern Renaissance, Christian iconography, religious symbolism, heart imagery, diptychs, passion diptychs, blood veil symbolism, spiritual conflagrations, holy wars in art, medieval devotional objects, no explicit French links",no,,,Yes,no explicit French links,study
Kenneth Hartvigsen,BYU,https://openalex.org/A5057189698,7,"American Art (United States), Visual Culture Studies, Graphic Arts & Illustration, Politics & Ideology in Art, Body, Identity & Representation, Gender & Feminist Art History, War, Conflict & Memory, Postwar Art (1945–1970s), Japanese cultural trauma, Early 20th-Century Art, Race & Black Visual Culture, Labor, Class & Social History","American art history, Civil War art, Visual culture, Popular music illustration, Sheet music cover art, Patriotism in art, Race and representation, Gender bending in visual culture, War imagery, Memory and art, Graphic novels, Miné Okubo, Japanese American internment, 20th-century American art, Visual narratives of slavery, Art and social history",no,,,No,,none
Erik Yingling,BYU,https://openalex.org/A5085112498,7,"Early Christian Art, Religion & Sacred Art, Prehistoric & Ancient Art, Late Antiquity, Book Arts & Manuscripts","early Christian studies, ritual studies, Gospel of the Savior, Clement of Alexandria, doctrine of deification, Enuma Elish, ancient Near Eastern texts, Roman persecution of Christians, Acts of Peter, papyrology, lost economics in Luke 15, Coptic epitaphs, Petrie Museum of Egyptian Archaeology, Egyptian archaeology, ancient religious texts, early Christian ritual, ancient idol worship, ancient manuscript dating, Christianity in Roman Empire",no,,,No,,none
Melanie Allred,BYU,https://openalex.org/A5064927180,1,"Body, Identity & Representation, Psychological sciences, Conceptual Art, Gender & Feminist Art History","identity studies, psychological frameworks, maternal themes, conceptual art, feminist theory",no,,,No,,none
Isaac King,BYU,https://openalex.org/A5032567454,7,"Historiography of Art, Painting, Art Theory & Aesthetics, Other / Uncategorized, American Art (United States), Mixed & Interdisciplinary Media","art history, portraiture, authenticity in art, posthumous art, George Washington portraits, American art, artistic multiplicity, historical figures in art",no,,,No,,none
Rebecca Lloyd,BYU,https://openalex.org/A5064466836,463,"Art Theory & Aesthetics, Other / Uncategorized, Performance Art, Digital & New Media Art, Science, Technology & Art, Health & Physical Activity, Body, Identity & Representation, Interdisciplinary Cultural Studies, Film & Cinema, Gothic Art, Sound Art & Music, Historiography of Art, Latin American Art, Mesoamerican art, Book Arts & Manuscripts, Iberian Art, Politics & Ideology in Art, Colonial & Imperial Art, African Art & Diaspora, Power, Empire & Resistance, American Art (United States), Postwar Art (1945–1970s), War, Conflict & Memory, Biographical studies, Gender & Feminist Art History, Race & Black Visual Culture, Migration & Diaspora, Digital Humanities & Data Methods, Museum Studies, Archives & Libraries, French Art & Culture, French Colonial & Imperial Contexts, Paris & Île-de-France, Francophone Worlds, French Art Institutions, 19th-Century Art","phenomenology, movement studies, physical education, dance studies, somatic practices, interactive flow, motion-sensing phenomenology, health and physical activity, sports pedagogy, salsa dance, equine arts, tai chi, autoimmune diseases, bone marrow transplantation, stem cell transplantation, COVID-19 impact on health, mental training in sports, pedagogy, curriculum studies, interdisciplinary approaches, phenomenology of the body, animal studies in film, gothic animal bodies, film studies, Tim Burton films, ghost stories, Louisa Baldwin, musicology, Johann Sebastian Bach, Lutheran musical heritage, philosophy of time, Leibniz, historical research methods, primary sources, historiography, Latin American studies, Mesoamerican studies, Maya codices, Spanish and Portuguese language and literature, Spanish and Portuguese film, Spanish applied linguistics, Hispanic sociolinguistics, Latin American revolutions, colonial Latin America, modern Latin American history, African diaspora, slavery studies, American history, United States history, American military culture, Cold War culture, World War I, World War II, Vietnam War, American revolutions, Philadelphia history, biographical studies, gender studies, women's history, race and poverty in the Americas, immigration studies, Latino immigration, bilingual communities, global terrorism, global crisis, global slavery, colonial and modern history, history of the National Park Service, digital humanities, citation analysis, research guides, library science, scholarly communication, French art, French colonialism, Paris, Francophone Caribbean, French institutions, 19th-century French painting, French photography",no,,,No,"French art, French colonialism, Paris, French institutions, 19th-century French painting, French photography",study
Natalie Vaieland,BYU,https://openalex.org/A5020559196,1,"Gender & Feminist Art History, Performance Art, Other / Uncategorized, Art Theory & Aesthetics, Sound Art & Music, Early 20th-Century Art, Biographical studies, German-Speaking Worlds, War, Conflict & Memory, Body, Identity & Representation, Religion & Sacred Art, Postwar Art (1945–1970s), Psychological sciences","gender studies, performance studies, theater studies, psychoanalysis in art, Alfred Wolfsohn, Charlotte Salomon, 20th-century art, biographical art, German-Jewish artists, expressionism, trauma and memory, identity and transference, Jewish art, Holocaust art, psychological biography",no,,,No,,none
Luke Drake,BYU,https://openalex.org/A5057301697,20,"Anthropology & Ethnography of Art, Environmental & Ecological Art, Urbanism & City Planning, Other / Uncategorized, Social History, Science, Technology & Art, Art Theory & Aesthetics, Classical Antiquity, Religion & Sacred Art, Early Christian Art, Late Antiquity","community gardens, urban agriculture, urban food production, vacant land use, community economy, urban greening, geographical perspectives, GIS in urban studies, diverse economies, participatory cartography, social change, community building, food security, farmers' markets, local food networks, disaster relief, agrobiodiversity, traditional economy, urban planning, university NGO municipal collaboration, life prediction models, plastic ball grid arrays, pelvic fixation, neuromuscular scoliosis, early onset scoliosis, intertextuality, Aeschylus studies, Book of Judges, Coptic studies, virginity and disability, late antiquity, US community gardens, Canada community gardens, Miami Florida community gardens, Los Angeles farmers' markets, California local food, Trenton New Jersey urban planning, no links to France",no,,,No,no links to France,study
Christopher Haney,BYU,https://openalex.org/A5067527192,76,"Other / Uncategorized, Anthropology & Ethnography of Art, Environmental & Ecological Art, Migration & Diaspora, American Art (United States), Latin American Art, Science, Technology & Art, Heritage & Preservation, Digital & New Media Art","marine biology, seabird ecology, avian conservation, marine ecosystems, climate vulnerability, oil spill impact, marine biodiversity, ecosystem management, species distribution, migration patterns, foraging behavior, environmental monitoring, remote sensing, satellite imagery, trophic cascades, population dynamics, habitat assessment, environmental policy, ecological indicators, species vulnerability, endangered species, pelagic birds, coastal ecosystems, marine resource patches, oceanography, frontal systems, deepwater horizon spill, gulf of mexico, bering sea, north pacific ocean, atlantic ocean, south atlantic bight, appalachian plateau, southern appalachians, alaska, northern gulf of mexico, southeastern united states, bahamas, west indies, caribbean coastal environment, ivory gull, manx shearwater, cory's shearwater, black-capped petrel, bridled tern, black tern, ross' gull, nazca booby, pelagic seabirds, avian taxonomy, avian breeding, avian migration, avian feeding habits, environmental security, fisheries exploitation, wildlife restoration, gray wolf conservation, lake water quality, algal blooms, environmental assessment, hurricane impacts, scientific assessment, conservation planning, ecosystem thresholds, genetic distinctiveness, marine bird habitats, ocean fronts, pycnocline topography, anticyclonic tidal eddies, seabird patchiness, seabird aggregation, avian reproductive success, avian population comparisons, avian community attributes, environmental heterogeneity, livestock compensation, glass plant asbestos elimination, google integration, alaska satellite facility, new hampshire lakes, usa, no links to France",no,,,No,"avian population comparisons, no links to France",study
Seth Jeppesen,BYU,https://openalex.org/A5066494106,6,"Classical Antiquity, Other / Uncategorized, Prehistoric & Ancient Art","classical studies, ancient Roman drama, Roman playwrights, Naevius, Ennius, Plautus, Plautus: Trinummus, Greek comedy, Aristophanes, Aristophanes: Cavalry, religion in ancient drama, classics and resistance, Jorge Andrade, Pedreira das Almas, Menander, Menander's Samia, ancient Greek drama, translation studies, early Roman literature, classical reception, theater studies",no,,,No,,none
Karen Macfarlane,BYU,https://openalex.org/A5008059294,6,"Other / Uncategorized, Academic Art Institutions","higher education studies, learner identity, student transitions, university culture, widening participation, learner life cycle, capability building, transition programs, immersion programs, education evaluation, healthcare education, nursing studies, cancer patient care",no,,,No,,none
Roger T. Macfarlane,BYU,https://openalex.org/A5056260672,9,"Book Arts & Manuscripts, Digital & New Media Art, Science, Technology & Art, Classical Antiquity, Religion & Sacred Art, Early Christian Art, Other / Uncategorized","papyrology, manuscript studies, textual restoration, textual conservation, digital imaging techniques, multi-spectral imaging, monospectral infrared imaging, ancient manuscripts, Herculaneum papyri, Derveni papyrus, classical antiquity texts, Latin texts, Greek texts, Hebrew texts, Aramaic texts, New Testament studies, Judea in antiquity, Julius Caesar, Bellum Civile, ancient political narratives, ancient astronomy, Ptolemy, Hipparchus, text dating methods, electronic publication of manuscripts",no,,,No,,none
Charles W. Oughton,BYU,https://openalex.org/A5086103348,3,"Classical Antiquity, Other / Uncategorized, Prehistoric & Ancient Art, Art Theory & Aesthetics, Historiography of Art","classical studies, ancient historiography, Greek literature, Roman literature, Herodotus, Plutarch, Polybius, Livy, ancient Persia, Hannibalic War, narrative techniques, historical irony, intertextuality, truth telling, ancient military culture, archery in antiquity, horsemanship in antiquity",no,,,No,,none
Cecilia Peek,BYU,https://openalex.org/A5042306312,4,"Other / Uncategorized, Classical Antiquity, Politics & Ideology in Art, Prehistoric & Ancient Art, Historiography of Art","ancient history, Hellenistic period, Cleopatra VII, Alexander the Great, Jewish history, Judaea, political history, ancient Mediterranean, ancient Egypt, ancient Jerusalem, historical chronology, historical context",no,,,No,,none
Mike Pope,BYU,https://openalex.org/A5054241193,34,"Other / Uncategorized, Environmental & Ecological Art, Architecture, Prehistoric & Ancient Art, Science, Technology & Art","geology, stratigraphy, paleontology, sedimentology, climate change, paleoceanography, tectonics, carbonate platforms, Ordovician period, Cretaceous period, Paleoproterozoic era, Cambrian period, Mississippian period, glacioeustasy, greenhouse to icehouse transitions, seismites, carbonate cycles, evaporites, stromatolites, marine apatite isotopes, δ18O analysis, δ13C analysis, strontium isotope ratios, impact structures, shock metamorphism, X-ray diffraction, electron spin resonance, petrography, carbonate sedimentation, western interior seaway, Appalachian basin, Kentucky geology, Texas geology, Arkansas geology, Indiana geology, Idaho geology, Northwest Territories geology, Mackenzie Mountains, Great Slave Lake, Slave Craton, Franklin Mountains, Saalian lithics, La Cotte de St. Brelade, Paleolithic archaeology, nuclear energy research, fast reactor systems, engineering optimization, California precast bridge construction, USA geology, no explicit links to France",no,,,No,no explicit links to France,study
Thomas Wayment,BYU,https://openalex.org/A5097495667,1,"Religion & Sacred Art, Book Arts & Manuscripts, Iconography & Iconology","religious art, biblical themes, Book of Revelation, apocalyptic imagery, medieval manuscripts, iconography, Christian symbolism",no,,,No,,none
Matthew Ancell,BYU,https://openalex.org/A5044601287,14,"Baroque Art, Other / Uncategorized, Spanish Art & Culture, Renaissance Art, Art Theory & Aesthetics, Religion & Sacred Art, Latin American Art, Medieval Western Art, Iconography & Iconology, Theater studies, Iberian Art","Baroque art, Spanish Baroque literature, Velázquez, Las Meninas, Calderón de la Barca, La vida es sueño, Luis de Góngora, Góngora's poetry, Quevedo, Spanish Golden Age, 17th-century Spanish art, 17th-century Spanish literature, anamorphosis, pictorial logic, philosophy and painting, faith and blindness in art, theology of painting, poetics of disfiguration, domestic fiction in Baroque Spain, anatomies in Spain and Latin America, Spanish and Latin American art and literature, medieval and renaissance studies, labyrinth and knowledge in art, theater and novel adaptations, Spanish art and literature, Spanish cultural history, Spanish visual culture, Spanish poetry and painting, Spanish Golden Age theater, Spanish Baroque painting, Spanish Baroque poetry, Spanish Baroque theater",no,,,No,,none
Stan Benfell,BYU,https://openalex.org/A5011525733,3,"Literary and art intersections, Italian Art & Architecture, Medieval Western Art, Classical Antiquity, Other / Uncategorized","literary aesthetics, Dante Alighieri, medieval literature, classical concepts, friendship in literature, justice in literature, poverty in literature, avarice in literature, Italian literature, 14th-century literature, medieval philosophy",no,,,No,,none
George Handley,BYU,https://openalex.org/A5109618125,73,"Other / Uncategorized, Labor, Class & Social History, Urbanism & City Planning, Art Markets & Collecting, Migration & Diaspora, Science, Technology & Art, Early 20th-Century Art","statistical analysis, population studies, demography, mathematical modeling, census data, Australian history, Australian statistics, population growth, birth rate, infant mortality, multiple births, suicide statistics, urban theory, city design, hydraulics, climatological physiology, economic statistics, price indexes, cost of living, wages, trade unions, unemployment, industrial conditions, migration studies, education reports, agricultural industries, pastoral industries, disease investigation, statistical representation, Fourier series applications, mathematical population theory, Australian migration, Australian manufacturing, official yearbooks, Australian government reports, early 20th century Australia",no,,,No,,none
Larry H. Peer,BYU,https://openalex.org/A5004894865,21,"Romanticism, Other / Uncategorized, 19th-Century Art, Religion & Sacred Art, Literature and film intersections, France (General), French Art & Culture","Romanticism, Comparative Romanticism, Romantic literature, Romantic art, Romanticism and the city, Romanticism and objects, Power and gender in Romanticism, Subjectivity in Romanticism, Race and ethnicity in 19th-century literature, Religious Bildung, Anne Brontë, Friedrich Maximilian Klinger, Literary representations of work and labor, 19th-century European literature, 19th-century Asian literature, Cross-cultural studies in Romanticism, Romantic manifestos, Romantic critics: Croce, Valéry, Lukács, Ingarden, Whitman’s Leaves of Grass, Romantic border crossings, Romanticism and comparative discourses, France, French Romanticism",no,,,No,"France, French Romanticism",study
Anthony Wood,BYU,https://openalex.org/A5080574035,75,"Other / Uncategorized, Anthropology & Ethnography of Art, Digital Humanities & Data Methods, Heritage & Preservation, Science, Technology & Art, French Art & Culture","organic chemistry, medicinal chemistry, drug discovery, small-molecule inhibitors, chemokine receptor CCR5, HIV treatment, non-nucleoside reverse transcriptase inhibitors, azadirachtin chemistry, insect antifeedants, enantiomerically pure amino acids, synthetic organic chemistry, Diels–Alder reaction, epoxidation reactions, neurophysiological responses, spodoptera littoralis, malaria parasite inhibition, γ-secretase inhibitors, pediatric to adult transition in sickle cell disease, phylogenetic spatial analysis, SARS-CoV-2 community transmission, population and deprivation data, Scottish SARS-CoV-2 outbreak, pde5 inhibitors, pediatric sickle cell disease, azadirachta indica, insect feeding behavior, hydroxylated α-amino acids, zinc homoenolate chemistry, tropane-derived CCR5 antagonists, peracid epoxidation, ketone-directed oxidation, chiral inhibitors, HIV drug resistance, semi-synthetic analogues, drug-resistant HIV, pharmaceutical chemistry, chemical synthesis methods, aziridine chemistry, stereoelectronic effects, neoergosterols, pediatric to adult healthcare transition, spatial epidemiology, virus variant modeling, Omicron SARS-CoV-2 variant, Jamaican slave datasets, historical datasets, Northern Rockies art history, Merritt Dana Houghton, TV technology, TiVo and Xbox technology, operations management in chemistry, Barbados migrant remittances, New York preservation, neutrino flux prediction, ICARUS experiment, French art",no,,,No,French art,study
